2025-01-28T20:00:07.559 +0000 [  78452319][   11783] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:00:07.561 +0000 [  78452321][   11783] INFO  - threddsServlet - Request Completed - 302 - -1 - 2
2025-01-28T20:00:17.658 +0000 [  78462418][   11784] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:00:17.659 +0000 [  78462419][   11784] INFO  - threddsServlet - Request Completed - 302 - -1 - 1
2025-01-28T20:00:27.800 +0000 [  78472560][   11785] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:00:27.800 +0000 [  78472560][   11785] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-01-28T20:00:37.863 +0000 [  78482623][   11786] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:00:37.864 +0000 [  78482624][   11786] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-01-28T20:00:47.957 +0000 [  78492717][   11787] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:00:47.957 +0000 [  78492717][   11787] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-01-28T20:00:58.025 +0000 [  78502785][   11788] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:00:58.026 +0000 [  78502786][   11788] INFO  - threddsServlet - Request Completed - 302 - -1 - 1
2025-01-28T20:01:08.151 +0000 [  78512911][   11789] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:01:08.151 +0000 [  78512911][   11789] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-01-28T20:01:18.218 +0000 [  78522978][   11790] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:01:18.218 +0000 [  78522978][   11790] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-01-28T20:01:28.304 +0000 [  78533064][   11791] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:01:28.304 +0000 [  78533064][   11791] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-01-28T20:01:38.369 +0000 [  78543129][   11792] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:01:38.369 +0000 [  78543129][   11792] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-01-28T20:01:48.427 +0000 [  78553187][   11793] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:01:48.428 +0000 [  78553188][   11793] INFO  - threddsServlet - Request Completed - 302 - -1 - 1
2025-01-28T20:01:58.509 +0000 [  78563269][   11794] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:01:58.509 +0000 [  78563269][   11794] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-01-28T20:02:08.581 +0000 [  78573341][   11795] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:02:08.581 +0000 [  78573341][   11795] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-01-28T20:02:18.654 +0000 [  78583414][   11796] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:02:18.654 +0000 [  78583414][   11796] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-01-28T20:02:28.727 +0000 [  78593487][   11797] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-01-28T20:02:28.727 +0000 [  78593487][   11797] INFO  - threddsServlet - Request Completed - 302 - -1 - 1
2025-01-28T20:02:38.810 +0000 [  78603570][   11798] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
